all_params,f1score,precision,recall
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.5_3_8b_0.3_3_9b_0.1_3,0.8789163929744318,0.806238733362948,0.9659951499058431
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.8_10_8b_0.5_3_9b_0.1_3,0.8788561559527889,0.8061468004739566,0.9659816021568016
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.8_10_8b_0.05_3_9b_0.1_3,0.8787702064805708,0.8060116119820687,0.9659680544077601
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.8_10_8b_0.3_3_9b_0.1_3,0.8786612652469741,0.805818906503222,0.9659816021568016
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.2_3_8b_0.5_3_9b_0.1_3,0.8792734610831037,0.8066886937807316,0.9662119138905071
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.2_3_8b_0.05_3_9b_0.1_3,0.8792621802732987,0.8066791469037979,0.9661983661414656
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.2_3_8b_0.3_3_9b_0.1_3,0.8791442001468128,0.8064711192767862,0.9662119138905071
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.5_3_8b_0.5_3_9b_0.1_3,0.8791940899128887,0.8065078924323825,0.9662796526357146
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.5_3_8b_0.05_3_9b_0.1_3,0.8791800781208611,0.8064937489109993,0.9662661048866731
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.5_3_8b_0.3_3_9b_0.1_3,0.8790508497993638,0.8062857212839876,0.9662525571376316
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.8_10_8b_0.5_3_9b_0.1_3,0.8789906037036997,0.8061937883949966,0.9662390093885901
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.8_10_8b_0.05_3_9b_0.1_3,0.8790722073634644,0.8063405274293477,0.9662254616395486
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.5_3_7b_0.8_10_8b_0.3_3_9b_0.1_3,0.8789906037036997,0.8061937883949966,0.9662390093885901
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.2_3_8b_0.5_3_9b_0.1_3,0.8784922875298924,0.8055441293127932,0.9659680544077601
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.2_3_8b_0.05_3_9b_0.1_3,0.878621582397213,0.8057521569398051,0.9659816021568016
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.2_3_8b_0.3_3_9b_0.1_3,0.8785399379228804,0.8056054179054538,0.9659951499058431
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.5_3_8b_0.5_3_9b_0.1_3,0.8785898186193296,0.8056421910610502,0.9660628886510506
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.5_3_8b_0.05_3_9b_0.1_3,0.8786714651858145,0.8057889300954013,0.9660493409020091
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.5_3_8b_0.3_3_9b_0.1_3,0.8785898186193297,0.8056421910610504,0.9660628886510506
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.8_10_8b_0.5_3_9b_0.1_3,0.8785295462668767,0.8055502581720592,0.9660493409020091
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.8_10_8b_0.05_3_9b_0.1_3,0.8786112013870694,0.8056969972064103,0.9660357931529676
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_3_7b_0.8_10_8b_0.3_3_9b_0.1_3,0.8785295462668767,0.8055502581720592,0.9660493409020091
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.2_3_8b_0.5_3_9b_0.1_3,0.8784070404916522,0.8054573038065238,0.9658867679135111
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.2_3_8b_0.05_3_9b_0.1_3,0.8784886910895493,0.805604042840875,0.9658732201644696
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.2_3_8b_0.3_3_9b_0.1_3,0.8784070404916522,0.8054573038065239,0.9658867679135111
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.5_3_8b_0.5_3_9b_0.1_3,0.8784569204239497,0.8054940769621204,0.9659545066587186
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.5_3_8b_0.05_3_9b_0.1_3,0.8785385731139984,0.8056408159964713,0.9659409589096771
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.5_3_8b_0.3_3_9b_0.1_3,0.8784569204239497,0.8054940769621204,0.9659545066587186
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.8_10_8b_0.5_3_9b_0.1_3,0.8783966449457079,0.8054021440731292,0.9659409589096771
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.8_10_8b_0.05_3_9b_0.1_3,0.8784783061913025,0.8055488831074803,0.9659274111606356
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.2_5_7b_0.8_10_8b_0.3_3_9b_0.1_3,0.8783966449457079,0.8054021440731293,0.9659409589096771
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.2_3_8b_0.5_3_9b_0.1_3,0.8791228237374977,0.8064634582027035,0.9661712706433826
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.2_3_8b_0.05_3_9b_0.1_3,0.8792043928323637,0.8066101972370546,0.9661577228943411
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.2_3_8b_0.3_3_9b_0.1_3,0.8791228237374977,0.8064634582027035,0.9661712706433826
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.5_3_8b_0.5_3_9b_0.1_3,0.8791727138515756,0.8065002313583,0.9662390093885901
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.5_3_8b_0.05_3_9b_0.1_3,0.8792542850411097,0.806646970392651,0.9662254616395486
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.5_3_8b_0.3_3_9b_0.1_3,0.8791727138515756,0.8065002313583,0.9662390093885901
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.8_10_8b_0.5_3_9b_0.1_3,0.8791124799638498,0.8064082984693088,0.9662254616395486
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.8_10_8b_0.05_3_9b_0.1_3,0.8791940596947267,0.80655503750366,0.9662119138905071
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.2_3_6b_0.5_3_7b_0.8_10_8b_0.3_3_9b_0.1_3,0.8791124799638498,0.8064082984693088,0.9662254616395486
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.5_3_6b_0.2_3_7b_0.2_3_8b_0.5_3_9b_0.1_3,0.8786849802379404,0.8057739615352708,0.9661035318981751
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.5_3_6b_0.2_3_7b_0.2_3_8b_0.05_3_9b_0.1_3,0.87876661642403,0.8059207005696218,0.9660899841491336
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.5_3_6b_0.2_3_7b_0.2_3_8b_0.3_3_9b_0.1_3,0.8786849802379404,0.8057739615352708,0.9661035318981751
