all_params,f1score,precision,recall
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.1_3_9b_0.15_3,0.8790451583694576,0.7967660733867052,0.9802744773955807
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.1_3_9b_0.1_3,0.885432684371266,0.8155167430776384,0.9684608402313956
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.1_3_9b_0.01_5,0.8312205053716548,0.8198087086325729,0.8429544931109696
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.1_3_9b_0.05_1,0.8937127925717055,0.8491093655130443,0.9432620270142116
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.01_5_9b_0.1_1,0.8906358122796236,0.8243196707865648,0.968555674474686
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.01_5_9b_0.05_3,0.8856641752602307,0.8370435274210055,0.9402815222250823
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.01_5_9b_0.15_3,0.8783008686819251,0.7963757121965285,0.9790145367347215
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.01_5_9b_0.1_3,0.8846758707304325,0.8151263818874617,0.9672008995705363
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.01_5_9b_0.01_5,0.8304070834252965,0.8194183474423956,0.8416945524501104
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.5_3_8b_0.01_5_9b_0.05_1,0.8929308723314047,0.848719004322867,0.9420020863533524
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.05_3_8b_0.05_5_9b_0.1_1,0.8912738214578666,0.8246180990877513,0.9696530421470473
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.05_3_8b_0.05_5_9b_0.05_3,0.8863178757740531,0.8373419557221919,0.9413788898974436
0b_0.8_1_1b_0.8_1_2b_0.5_3_3b_0.5_3_4b_0.5_3_5b_0.6_3_6b_0.5_3_7b_0.05_3_8b_0.05_5_9b_0.15_3,0.8789238426024771,0.7966741404977149,0.9801119044070827
